"rt","stimulus","response","trial_type","trial_index","plugin_version","time_elapsed","target_group","target_index","condition_label","correct","choices","correct_choice","trial_duration","flip_timestamps","response_ends_trial","number_of_apertures","number_of_dots","number_of_sets","coherent_direction","coherence","opposite_coherence","dot_radius","dot_side_length","dot_life","move_distance","aperture_width","aperture_height","dot_color","dot_shape","background_color","RDK_type","aperture_type","reinsert_type","frame_rate","frame_rate_array","number_of_frames","aperture_center_x","aperture_center_y","fixation_cross","fixation_cross_width","fixation_cross_height","fixation_cross_color","fixation_cross_thickness","border","border_thickness","border_color","canvas_width","canvas_height","target_direction","distractor_direction","response_angle_css","response_angle_rdk","angular_error","reward_points","rotation_angle","key_press"
"-1","","","rdk","157","2.0.0","596166","black","0","B_H_vs_W_L_rep16","false","ALL_KEYS","[""a""]","2000","[]","false","2","[100,100]","1","[233,310]","1","0","2","1","-1","1","300","300","[""black"",""white""]","circle","#AAA","3","2","2","16.95798319327731","[19,17,17,17,17,16,17,17,17,17,17,17,17,17,17,17,17,16,17,17,17,16,18,17,17,16,17,17,17,17,17,16,17,17,17,17,17,17,17,17,16,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,16,18,17,16,17,17,17,17,16,18,17,16,17,17,17,17,17,17,17,17,17,17,17,17,17,17]","119","735","461.5","true","15","15","#111","1","true","2","transparent","1470","923","233","310","","","","","",""
"3992","
        <div class=""response-container"">
          <div class=""response-instruction"">
            <p>rotate the bar by using the left and right arrow keys.</p>
            <p>when you are determined, press the Enter key.</p>
          </div>
          <div class=""response-circle"">
            <div class=""response-fixation""></div>
            <div id=""bar"" class=""rotating-bar""></div>
          </div>
        </div>
      ","Enter","html-keyboard-response","158","2.0.0","600159","black","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","233","","468","342","32","0","98",""
"null","
          <p style=""color: #FF3333;"">Your reward: 0 points</p>
        ","null","html-keyboard-response","159","2.0.0","602162","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","<div class=""fixation"" style=""font-size: 60px;"">+</div>","null","html-keyboard-response","160","2.0.0","603164","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"-1","","","rdk","161","2.0.0","605168","black","0","B_H_vs_W_L_rep6","false","ALL_KEYS","[""a""]","2000","[]","false","2","[100,100]","1","[241,307]","1","0","2","1","-1","1","300","300","[""black"",""white""]","circle","#AAA","3","2","2","16.858333333333334","[14,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,16,17,17,17,17,17,17,16,17,17,17,17,17,17,17,16,17,17,17,17,16,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,16,17,17,17,17,16,17,17,17,17,17,17,17,16,17,17,17,17,17,17,16,17,16,17,16,17,17,17,17,17,17,16,16,18,17,17,17,17,17,16,17,17,16,17,17,17,17,17,16,17,17,17,17,16,17,18,17,17,17,17,17,17,17,17,17,17]","120","735","461.5","true","15","15","#111","1","true","2","transparent","1470","923","241","307","","","","","",""
"1735","
        <div class=""response-container"">
          <div class=""response-instruction"">
            <p>rotate the bar by using the left and right arrow keys.</p>
            <p>when you are determined, press the Enter key.</p>
          </div>
          <div class=""response-circle"">
            <div class=""response-fixation""></div>
            <div id=""bar"" class=""rotating-bar""></div>
          </div>
        </div>
      ","Enter","html-keyboard-response","162","2.0.0","606904","black","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","241","","112","338","31","0","98",""
"null","
          <p style=""color: #FF3333;"">Your reward: 0 points</p>
        ","null","html-keyboard-response","163","2.0.0","608907","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","<div class=""fixation"" style=""font-size: 60px;"">+</div>","null","html-keyboard-response","164","2.0.0","609909","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"-1","","","rdk","165","2.0.0","611914","white","0","W_H_vs_B_L_rep2","false","ALL_KEYS","[""a""]","2000","[]","false","2","[100,100]","1","[124,43]","1","0","2","1","-1","1","300","300","[""white"",""black""]","circle","#AAA","3","2","2","16.88235294117647","[21,16,17,16,18,16,17,17,17,17,17,17,17,17,17,16,16,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,16,17,16,18,16,17,17,17,16,17,17,17,17,17,17,17,16,17,17,17,17,16,18,16,18,17,17,17,17,17,16,17,16,17,17,17,17,17,17,17,17,17,16,17,17,17,17,17,16,17,17,17,16,17,17,17,17,17,17,17,17,17,17,17,16,17,17,17,17,17,16,18,16,16,17,17,16,17,17,17,16,17,17]","119","735","461.5","true","15","15","#111","1","true","2","transparent","1470","923","124","43","","","","","",""
"2479","
        <div class=""response-container"">
          <div class=""response-instruction"">
            <p>rotate the bar by using the left and right arrow keys.</p>
            <p>when you are determined, press the Enter key.</p>
          </div>
          <div class=""response-circle"">
            <div class=""response-fixation""></div>
            <div id=""bar"" class=""rotating-bar""></div>
          </div>
        </div>
      ","Enter","html-keyboard-response","166","2.0.0","614394","white","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","124","","67","23","-20","0","98",""
"null","
          <p style=""color: #FF3333;"">Your reward: 0 points</p>
        ","null","html-keyboard-response","167","2.0.0","616397","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","<div class=""fixation"" style=""font-size: 60px;"">+</div>","null","html-keyboard-response","168","2.0.0","617400","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"-1","","","rdk","169","2.0.0","619404","black","0","B_H_vs_W_L_rep2","false","ALL_KEYS","[""a""]","2000","[]","false","2","[100,100]","1","[233,319]","1","0","2","1","-1","1","300","300","[""black"",""white""]","circle","#AAA","3","2","2","16.85","[13,17,17,17,16,17,17,17,17,16,17,17,17,17,17,17,17,16,17,17,17,16,17,16,18,16,17,17,17,17,17,17,17,17,17,17,17,16,18,16,18,17,17,16,17,17,17,17,17,16,18,17,17,17,17,17,17,16,17,17,17,17,17,17,17,17,17,17,17,17,17,16,17,17,17,17,17,16,16,18,17,17,17,15,18,16,17,17,16,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,16,17,17,17,17,16,17,16,18,17,17,17,17,17,17,17]","120","735","461.5","true","15","15","#111","1","true","2","transparent","1470","923","233","319","","","","","",""
"1147","
        <div class=""response-container"">
          <div class=""response-instruction"">
            <p>rotate the bar by using the left and right arrow keys.</p>
            <p>when you are determined, press the Enter key.</p>
          </div>
          <div class=""response-circle"">
            <div class=""response-fixation""></div>
            <div id=""bar"" class=""rotating-bar""></div>
          </div>
        </div>
      ","Enter","html-keyboard-response","170","2.0.0","620552","black","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","233","","117","333","14","0","98",""
"null","
          <p style=""color: #FF3333;"">Your reward: 0 points</p>
        ","null","html-keyboard-response","171","2.0.0","622554","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","<div class=""fixation"" style=""font-size: 60px;"">+</div>","null","html-keyboard-response","172","2.0.0","623557","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"-1","","","rdk","173","2.0.0","625562","white","1","W_H_vs_B_L_rep16","false","ALL_KEYS","[""a""]","2000","[]","false","2","[100,100]","1","[36,111]","1","0","2","1","-1","1","300","300","[""black"",""white""]","circle","#AAA","3","2","2","16.96638655462185","[22,16,17,17,17,17,16,18,17,17,17,17,17,17,17,17,17,16,17,17,17,17,17,17,17,16,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,16,17,17,17,17,16,17,17,17,17,17,17,16,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,16,18,16,17,16,17,17,17,17,16,17,17,17,17,17,17,17,17,16,17,18,17,17,17,16,18,17,17,17,17,17]","119","735","461.5","true","15","15","#111","1","true","2","transparent","1470","923","111","36","","","","","",""
"2250","
        <div class=""response-container"">
          <div class=""response-instruction"">
            <p>rotate the bar by using the left and right arrow keys.</p>
            <p>when you are determined, press the Enter key.</p>
          </div>
          <div class=""response-circle"">
            <div class=""response-fixation""></div>
            <div id=""bar"" class=""rotating-bar""></div>
          </div>
        </div>
      ","Enter","html-keyboard-response","174","2.0.0","627814","white","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","111","","63","27","-9","0","98",""
"null","
          <p style=""color: #FF3333;"">Your reward: 0 points</p>
        ","null","html-keyboard-response","175","2.0.0","629816","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","<div class=""fixation"" style=""font-size: 60px;"">+</div>","null","html-keyboard-response","176","2.0.0","630819","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"-1","","","rdk","177","2.0.0","632823","white","0","W_H_vs_B_L_rep8","false","ALL_KEYS","[""a""]","2000","[]","false","2","[100,100]","1","[111,64]","1","0","2","1","-1","1","300","300","[""white"",""black""]","circle","#AAA","3","2","2","16.85","[10,17,17,17,17,16,17,17,17,17,17,17,17,17,17,17,17,17,17,17,16,17,16,17,16,17,17,17,17,17,16,18,17,17,17,17,17,17,17,17,17,16,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,16,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,16,18,17,17,17,17,16,17,16,17,17,17,17,17,17,17,17,17,16,15,18,17,16,18,17,17,17,17,17,17,16,17]","120","735","461.5","true","15","15","#111","1","true","2","transparent","1470","923","111","64","","","","","",""
"754","
        <div class=""response-container"">
          <div class=""response-instruction"">
            <p>rotate the bar by using the left and right arrow keys.</p>
            <p>when you are determined, press the Enter key.</p>
          </div>
          <div class=""response-circle"">
            <div class=""response-fixation""></div>
            <div id=""bar"" class=""rotating-bar""></div>
          </div>
        </div>
      ","Enter","html-keyboard-response","178","2.0.0","633578","white","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","111","","53","37","-27","0","98",""
"null","
          <p style=""color: #FF3333;"">Your reward: 0 points</p>
        ","null","html-keyboard-response","179","2.0.0","635581","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","<div class=""fixation"" style=""font-size: 60px;"">+</div>","null","html-keyboard-response","180","2.0.0","636584","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"-1","","","rdk","181","2.0.0","638588","white","0","W_H_vs_B_L_rep12","false","ALL_KEYS","[""a""]","2000","[]","false","2","[100,100]","1","[123,43]","1","0","2","1","-1","1","300","300","[""white"",""black""]","circle","#AAA","3","2","2","16.85","[11,17,17,17,17,17,17,17,17,17,16,17,17,17,17,16,18,17,16,17,17,17,17,17,17,17,17,17,17,16,17,17,17,17,17,17,17,17,17,17,17,17,17,17,16,17,17,17,17,17,17,17,17,16,17,17,17,17,17,17,17,16,16,17,17,17,17,17,16,17,17,17,17,17,17,17,17,17,17,16,17,17,17,17,17,17,17,17,17,17,17,17,17,17,16,17,17,17,16,18,17,16,17,17,16,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17]","120","735","461.5","true","15","15","#111","1","true","2","transparent","1470","923","123","43","","","","","",""
"1621","
        <div class=""response-container"">
          <div class=""response-instruction"">
            <p>rotate the bar by using the left and right arrow keys.</p>
            <p>when you are determined, press the Enter key.</p>
          </div>
          <div class=""response-circle"">
            <div class=""response-fixation""></div>
            <div id=""bar"" class=""rotating-bar""></div>
          </div>
        </div>
      ","Enter","html-keyboard-response","182","2.0.0","640210","white","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","123","","399","51","8","0","98",""
"null","
          <p style=""color: #FF3333;"">Your reward: 0 points</p>
        ","null","html-keyboard-response","183","2.0.0","642213","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","<div class=""fixation"" style=""font-size: 60px;"">+</div>","null","html-keyboard-response","184","2.0.0","643216","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"-1","","","rdk","185","2.0.0","645220","white","1","W_H_vs_B_L_rep10","false","ALL_KEYS","[""a""]","2000","[]","false","2","[100,100]","1","[38,110]","1","0","2","1","-1","1","300","300","[""black"",""white""]","circle","#AAA","3","2","2","16.916666666666668","[14,17,17,17,17,17,17,17,16,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,16,18,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,16,16,17,17,17,17,17,17,17,17,17,17,17,17,16,17,17,17,17,17,17,17,17,17,17,17,16,18,17,17,16,17,16,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,16,17,17,17]","120","735","461.5","true","15","15","#111","1","true","2","transparent","1470","923","110","38","","","","","",""
"1737","
        <div class=""response-container"">
          <div class=""response-instruction"">
            <p>rotate the bar by using the left and right arrow keys.</p>
            <p>when you are determined, press the Enter key.</p>
          </div>
          <div class=""response-circle"">
            <div class=""response-fixation""></div>
            <div id=""bar"" class=""rotating-bar""></div>
          </div>
        </div>
      ","Enter","html-keyboard-response","186","2.0.0","646959","white","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","110","","-48","138","28","3","98",""
"null","
          <p style=""color: #00FF00;"">Your reward: 3 points</p>
        ","null","html-keyboard-response","187","2.0.0","648961","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
